instance,bestsol,commit,time,optimal,score
S_abs1n45_4_H3,12467.85,v6-11-gf503ffb,1433.51,False,0.27312450086017
S_abs1n45_4_H6,28718.79,v6-11-gf503ffb,1370.877,False,
S_abs1n45_4_L3,4804.27,v1,1590.354,False,2.0827622841965
S_abs1n45_4_L6,16589.58,v7.2,125.557,False,
S_abs1n45_5_H3,13000.67,v6-11-gf503ffb,452.984,False,1.2123052250106
S_abs1n45_5_H6,31030.87,v7.2,1486.687,False,
S_abs1n45_5_L3,5587.92,v1,1566.908,False,7.7320233589814
S_abs1n45_5_L6,16576.72,v1,505.989,False,
S_abs1n50_2_H3,12177.34,v6-11-gf503ffb,786.623,False,0.4086485737703
S_abs1n50_2_H6,28823.57,v1,808.222,False,
S_abs1n50_2_L3,4306.27,v6-11-gf503ffb,903.09,False,0.79677358194667
S_abs1n50_2_L6,11209.82,v6-11-gf503ffb,889.757,False,
S_abs1n50_3_H3,12817.21,v6-11-gf503ffb,66.75,False,0.42254028744961
S_abs1n50_3_H6,30881.49,v6-11-gf503ffb,919.874,False,
S_abs1n50_3_L3,4990.93,v6-11-gf503ffb,330.941,False,1.5396978790499
S_abs1n50_3_L6,13515.26,v7.2,626.084,False,
S_abs1n50_4_H3,14008.74,v7.2,74.705,False,4.4689279524635
S_abs1n50_4_H6,32923.03,v6-11-gf503ffb,1178.841,False,
S_abs1n50_4_L3,5961.85,v6-11-gf503ffb,572.156,False,6.3725201572255
S_abs1n50_4_L6,16510.28,v7.2,737.116,False,
S_abs1n50_5_H3,15018.74,v6-11-gf503ffb,1162.142,False,6.2822164036515
S_abs1n50_5_H6,36998.65,v7.2,412.427,False,
S_abs1n50_5_L3,6960.11,v7.2,374.367,False,10
S_abs1n50_5_L6,20883.31,v2,1574.608,False,
S_abs1n5_2_H3,2027.75,v6-11-gf503ffb,0.162,True,0
S_abs1n5_2_H6,5973.34,v6-11-gf503ffb,6.237,True,0.0078689139392019
S_abs1n5_2_L3,1373.41,v6-11-gf503ffb,0.272,True,0
S_abs1n5_2_L6,3736.24,v6-11-gf503ffb,1.574,True,0.0032118882691057
S_abs1n5_3_H3,2061.27,v6-11-gf503ffb,0.262,True,0
S_abs1n5_3_H6,6852.36,v6-11-gf503ffb,26.538,True,0
S_abs1n5_3_L3,1407.59,v6-11-gf503ffb,0.389,True,0
S_abs1n5_3_L6,4617.59,v6-11-gf503ffb,2.26,False,0
S_abs1n5_4_H3,2234.65,v6-11-gf503ffb,1.059,True,0
S_abs1n5_4_H6,7711.75,v6-11-gf503ffb,170.456,False,0.09254187747092
S_abs1n5_4_L3,1578.65,v6-11-gf503ffb,1.146,True,0
S_abs1n5_4_L6,5479.26,v6-11-gf503ffb,50.966,False,0.23103813501189
S_abs1n5_5_H3,2361.94,v6-11-gf503ffb,0.804,True,0.93415609722745
S_abs1n5_5_H6,8636.29,v6-11-gf503ffb,20.21,False,0
S_abs1n5_5_L3,1708.51,v10-2-g2ae249a,0.558,False,1.249837029311
S_abs1n5_5_L6,6406.12,v6-11-gf503ffb,3.094,False,0
S_abs2n10_2_H3,4437.91,v6-11-gf503ffb,1.226,True,0.0029293926242513
S_abs2n10_2_H6,9280.71,v6-11-gf503ffb,171.532,True,0.0031248585732113
S_abs2n10_2_L3,2744.24,v10-2-g2ae249a,3.116,False,0.00036440094306478
S_abs2n10_2_L6,6458.63,v10-2-g2ae249a,36.848,False,0.00061933022532656
S_abs2n10_3_H3,5100.49,v10-2-g2ae249a,6.806,True,0
S_abs2n10_3_H6,11051.2,v2,1141.19,False,0.0001809761491555
S_abs2n10_3_L3,3404.52,v6-11-gf503ffb,13.522,True,0
